,Species,Continent_of_Origin,Country_of_Origin,Harvest_Year,Expiration,Variety,Color,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean_Cup,Sweetness,Moisture,Quakers,Category_One_Defects,Category_Two_Defects
44,Arabica,Africa,Kenya,2014-01-01,2016-01-29,SL28,Bluish-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,0.11,0,0,2
45,Arabica,South America,Brazil,2011-01-01,2012-12-02,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.33,8.0,8.0,8.0,7.75,8.0,10.0,10.0,10.0,0.11,0,0,2
47,Arabica,South America,Colombia,2013-01-01,2015-03-20,Caturra,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,0.12,0,1,1
48,Arabica,Africa,Kenya,2013-01-01,2015-02-06,SL28,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1
49,Arabica,Africa,Uganda,2012-01-01,2013-02-12,Other,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,0.1,0,0,0
52,Arabica,North America,Guatemala,2016-01-01,2017-05-16,Bourbon,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,0.1,1,0,3
53,Arabica,Africa,Uganda,2013-01-01,2015-06-30,SL14,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.12,0,0,0
54,Arabica,South America,Colombia,2013-01-01,2014-07-26,Caturra,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.0,0,1,0
55,Arabica,North America,Panama,2017-01-01,2018-10-09,Gesha,Bluish-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,0.08,1,0,0
57,Arabica,North America,Guatemala,2012-01-01,2013-07-03,Bourbon,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.12,0,0,3
58,Arabica,North America,Guatemala,2012-01-01,2013-06-05,Catuai,Bluish-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,0.1,0,0,1
62,Arabica,North America,El Salvador,2013-01-01,2014-03-18,Bourbon,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,0.1,0,0,3
66,Arabica,Africa,Kenya,2014-01-01,2016-05-22,SL28,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,0.1,0,0,3
67,Arabica,Africa,Ethiopia,2015-01-01,2016-03-30,Other,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,0.12,0,0,7
68,Arabica,Africa,Uganda,2013-01-01,2015-06-26,SL14,Green,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10.0,10.0,10.0,0.12,0,0,1
69,Arabica,North America,Guatemala,2013-01-01,2014-02-26,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,0.11,0,0,1
71,Arabica,Africa,Uganda,2013-01-01,2015-06-26,SL14,Green,Washed / Wet,8.08,8.0,7.83,7.67,8.0,7.83,10.0,10.0,10.0,0.12,0,0,5
73,Arabica,South America,Brazil,2011-01-01,2012-12-02,Bourbon,Blue-Green,Semi-washed / Semi-pulped,8.0,8.0,8.0,7.67,7.75,8.0,10.0,10.0,10.0,0.11,0,0,1
75,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,0.1,0,0,0
76,Arabica,North America,Guatemala,2014-01-01,2016-05-22,Pacamara,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,0.11,0,0,1
77,Arabica,North America,Costa Rica,2014-01-01,2015-05-01,Caturra,Bluish-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,0.0,0,0,0
78,Arabica,North America,Costa Rica,2014-01-01,2015-05-01,Caturra,Bluish-Green,Washed / Wet,8.0,7.58,7.58,7.67,8.08,8.5,10.0,10.0,10.0,0.1,0,0,2
79,Arabica,Africa,Kenya,2012-01-01,2014-04-19,SL34,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,0.0,0,0,2
80,Arabica,Africa,Kenya,2012-01-01,2014-03-12,SL34,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.0,0,0,6
84,Arabica,South America,Colombia,2015-01-01,2016-04-07,Caturra,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,0.11,0,0,0
85,Arabica,South America,Colombia,2014-01-01,2015-01-17,Caturra,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,0.12,0,0,2
86,Arabica,Asia,Indonesia,2012-01-01,2013-11-26,Sumatra Lintong,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,0.11,0,0,3
88,Arabica,Africa,Ethiopia,2016-01-01,2017-08-09,Other,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,0.11,1,0,8
91,Arabica,North America,United States,2014-01-01,2015-03-10,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,0.11,0,2,2
92,Arabica,South America,Colombia,2012-01-01,2013-03-16,Caturra,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,0.11,0,0,8
96,Arabica,Africa,Uganda,2016-01-01,2018-07-24,SL14,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.11,0,0,1
97,Arabica,South America,Colombia,2016-01-01,2018-02-15,Caturra,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,0.0,0,0,3
98,Arabica,North America,Costa Rica,2016-01-01,2018-01-30,Catuai,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,0.12,1,1,1
99,Arabica,North America,Mexico,2015-01-01,2017-09-21,Typica,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,0.09,0,0,3
101,Arabica,Africa,Kenya,2012-01-01,2014-04-19,SL34,Green,Washed / Wet,7.75,7.83,7.75,8.08,8.0,7.75,10.0,10.0,10.0,0.0,0,0,5
102,Arabica,South America,Brazil,2012-01-01,2013-02-28,Mundo Novo,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3
107,Arabica,South America,Colombia,2015-01-01,2016-10-25,Caturra,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,0.12,0,0,1
108,Arabica,Asia,Taiwan,2015-01-01,2016-06-08,Typica,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,0.11,0,0,0
109,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.12,0,0,2
110,Arabica,South America,Colombia,2012-01-01,2013-12-11,Caturra,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,0.11,0,0,3
112,Arabica,South America,Brazil,2011-01-01,2012-12-22,Bourbon,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.11,0,0,2
113,Arabica,South America,Brazil,2011-01-01,2012-12-02,Catuai,Green,Natural / Dry,8.0,8.0,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0.12,0,0,2
115,Arabica,Asia,Taiwan,2016-01-01,2017-05-18,Typica,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,0.0,0,0,0
116,Arabica,Africa,Uganda,2013-01-01,2015-06-30,SL14,Green,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,10.0,0.12,0,0,1
120,Arabica,Asia,Thailand,2015-01-01,2017-06-27,Caturra,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.12,0,0,0
121,Arabica,Africa,Kenya,2014-01-01,2016-06-01,SL34,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,0.13,0,0,0
122,Arabica,North America,Honduras,2014-01-01,2015-04-25,Catuai,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,4
125,Arabica,North America,El Salvador,2016-01-01,2018-06-26,Bourbon,Blue-Green,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,0.0,0,0,2
126,Arabica,Asia,Indonesia,2016-01-01,2017-11-24,Java,Green,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.12,0,0,7
128,Arabica,North America,Costa Rica,2015-01-01,2017-10-04,Catuai,Blue-Green,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,0.1,0,0,2
129,Arabica,North America,Guatemala,2015-01-01,2017-06-01,Bourbon,Green,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,0.1,0,0,1
130,Arabica,North America,Costa Rica,2014-01-01,2016-07-05,Caturra,Green,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,0.12,0,0,0
132,Arabica,North America,Costa Rica,2014-01-01,2016-05-22,Other,Green,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,0.08,0,0,1
133,Arabica,North America,Costa Rica,2014-01-01,2015-03-05,Catuai,Green,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,0.11,0,0,4
135,Arabica,Asia,Taiwan,2013-01-01,2014-12-26,Typica,Green,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.11,0,0,0
136,Arabica,South America,Colombia,2013-01-01,2014-12-20,Caturra,Green,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0.0,0,0,0
137,Arabica,Africa,Kenya,2012-01-01,2013-09-16,SL28,Bluish-Green,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,0.11,0,0,0
138,Arabica,North America,Guatemala,2012-01-01,2013-07-17,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,0.11,0,0,4
139,Arabica,North America,Guatemala,2012-01-01,2013-07-03,Bourbon,Green,Washed / Wet,7.67,7.83,7.67,8.0,7.67,7.83,10.0,10.0,10.0,0.12,0,0,4
141,Arabica,Africa,Uganda,2012-01-01,2013-02-12,Other,Blue-Green,Washed / Wet,7.92,7.83,7.75,7.92,7.67,7.75,10.0,10.0,10.0,0.11,0,0,3
145,Arabica,South America,Colombia,2016-01-01,2018-01-10,Other,Blue-Green,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,0.0,0,0,4
146,Arabica,South America,Colombia,2016-01-01,2017-12-28,Caturra,Green,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,0.0,1,0,5
147,Arabica,Africa,Kenya,2013-01-01,2015-07-21,Peaberry,Bluish-Green,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,0.1,0,0,2
148,Arabica,North America,Guatemala,2014-01-01,2015-05-29,Pacas,Green,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,0.11,0,0,1
149,Arabica,North America,Guatemala,2014-01-01,2015-03-24,Bourbon,Green,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,0.09,0,0,0
152,Arabica,Africa,Kenya,2013-01-01,2014-08-30,SL28,Green,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,0.0,0,0,0
153,Arabica,South America,Colombia,2012-01-01,2014-07-17,Caturra,Green,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,0.0,0,0,2
154,Arabica,North America,Costa Rica,2012-01-01,2014-03-12,Bourbon,Bluish-Green,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,0.12,0,0,2
155,Arabica,South America,Colombia,2012-01-01,2013-10-09,Caturra,Green,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,0.11,0,0,6
156,Arabica,South America,Brazil,2011-01-01,2012-12-22,Bourbon,Green,Semi-washed / Semi-pulped,8.0,8.0,7.75,7.75,7.58,7.75,10.0,10.0,10.0,0.12,0,0,2
157,Arabica,South America,Brazil,2011-01-01,2012-12-02,Catuai,Blue-Green,Semi-washed / Semi-pulped,8.5,8.0,7.5,7.75,7.5,7.83,10.0,10.0,10.0,0.11,0,0,1
158,Arabica,North America,Costa Rica,2017-01-01,2018-11-28,Caturra,Bluish-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,0.1,0,0,2
159,Arabica,Africa,Uganda,2016-01-01,2018-03-14,SL14,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,0.11,0,0,1
160,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Washed / Wet,7.75,7.92,7.67,7.83,7.75,7.67,10.0,10.0,10.0,0.1,0,0,1
161,Arabica,North America,Costa Rica,2014-01-01,2016-07-05,Caturra,Green,Washed / Wet,7.92,7.83,7.83,7.83,7.58,7.58,10.0,10.0,10.0,0.11,0,0,0
162,Arabica,South America,Colombia,2015-01-01,2016-06-04,Other,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,1,0
163,Arabica,Asia,China,2013-01-01,2015-06-16,Other,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,0.0,0,0,2
164,Arabica,North America,Guatemala,2013-01-01,2014-02-26,Bourbon,Green,Washed / Wet,8.17,7.83,7.67,7.83,7.67,7.83,10.0,10.0,10.0,0.11,0,0,2
165,Arabica,Africa,Kenya,2012-01-01,2013-09-16,SL28,Blue-Green,Washed / Wet,7.92,7.83,7.67,8.0,7.67,7.75,10.0,10.0,10.0,0.11,0,0,0
166,Arabica,North America,Mexico,2012-01-01,2013-07-11,Typica,Green,Washed / Wet,8.0,7.92,7.42,8.08,7.5,7.67,10.0,10.0,10.0,0.12,0,0,0
168,Arabica,North America,Guatemala,2012-01-01,2013-02-15,Bourbon,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,0.11,0,0,2
171,Arabica,North America,Costa Rica,2016-01-01,2018-03-23,Caturra,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,0.1,0,0,3
172,Arabica,Asia,Indonesia,2017-01-01,2018-03-14,Mandheling,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,0.0,0,0,3
173,Arabica,South America,Colombia,2015-01-01,2017-01-24,Caturra,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,0.0,0,0,1
174,Arabica,South America,Colombia,2014-01-01,2015-07-09,Caturra,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,0.0,0,0,3
175,Arabica,Asia,Taiwan,2012-01-01,2014-07-10,Typica,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0.11,0,0,0
176,Arabica,North America,United States,2012-01-01,2014-01-21,Hawaiian Kona,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1
179,Arabica,Africa,Kenya,2017-01-01,2018-08-03,SL28,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,0.11,0,0,4
181,Arabica,South America,Colombia,2016-01-01,2018-02-20,Caturra,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,0.0,3,0,5
182,Arabica,North America,Honduras,2016-01-01,2017-04-04,Catuai,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,0.11,1,0,2
184,Arabica,South America,Colombia,2015-01-01,2016-04-28,Caturra,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,0.11,0,6,0
185,Arabica,South America,Colombia,2013-01-01,2014-07-19,Caturra,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,0.0,0,0,0
186,Arabica,North America,Mexico,2012-01-01,2013-07-27,Typica,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,0.12,0,0,1
191,Arabica,Asia,Taiwan,2016-01-01,2018-08-10,Typica,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,0.12,0,0,0
192,Arabica,Asia,Thailand,2015-01-01,2017-11-02,Catimor,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,0.12,0,0,0
193,Arabica,South America,Colombia,2016-01-01,2017-08-05,Caturra,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,0.11,0,0,2
194,Arabica,North America,Guatemala,2016-01-01,2017-05-23,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,0.11,4,0,4
195,Arabica,North America,Guatemala,2015-01-01,2017-04-06,Caturra,Green,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,0.1,0,0,1
196,Arabica,Asia,China,2015-01-01,2017-04-06,Catimor,Green,Natural / Dry,7.83,7.83,7.58,7.75,7.75,7.75,10.0,10.0,10.0,0.1,0,0,1
197,Arabica,South America,Colombia,2015-01-01,2016-11-18,Caturra,Green,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,0.11,0,0,3
198,Arabica,South America,Colombia,2015-01-01,2016-10-25,Caturra,Green,Washed / Wet,7.83,7.67,7.75,7.58,7.92,7.75,10.0,10.0,10.0,0.12,0,4,2
199,Arabica,South America,Colombia,2015-01-01,2016-06-04,Other,Green,Washed / Wet,7.83,7.75,7.83,7.58,7.67,7.75,10.0,10.0,10.0,0.12,0,0,0
200,Arabica,South America,Colombia,2015-01-01,2016-04-28,Caturra,Green,Natural / Dry,7.42,7.67,7.83,7.75,7.92,7.83,10.0,10.0,10.0,0.12,0,3,0
201,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Green,Washed / Wet,7.83,7.67,7.75,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,0,7
202,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Green,Washed / Wet,7.83,7.75,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.12,0,0,2
203,Arabica,North America,Guatemala,2014-01-01,2015-08-21,Bourbon,Green,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,0.1,0,0,1
204,Arabica,South America,Colombia,2013-01-01,2014-10-01,Caturra,Green,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,0.11,0,0,2
205,Arabica,North America,United States,2012-01-01,2013-12-11,Hawaiian Kona,Bluish-Green,Natural / Dry,7.33,7.92,7.92,7.92,7.92,8.08,10.0,10.0,9.33,0.11,0,1,1
206,Arabica,North America,Mexico,2012-01-01,2013-09-11,Typica,Green,Semi-washed / Semi-pulped,7.83,7.92,7.67,7.83,7.5,7.75,10.0,10.0,10.0,0.12,0,0,1
207,Arabica,North America,Mexico,2012-01-01,2013-04-09,Bourbon,Green,Washed / Wet,7.83,7.83,7.75,7.67,7.83,7.58,10.0,10.0,10.0,0.12,0,0,0
208,Arabica,North America,Mexico,2012-01-01,2013-04-02,Bourbon,Bluish-Green,Washed / Wet,7.83,7.92,7.67,7.75,7.5,7.75,10.0,10.0,10.0,0.1,0,0,4
209,Arabica,Africa,Uganda,2012-01-01,2013-02-12,Other,Green,Natural / Dry,8.17,7.75,7.58,7.67,7.83,7.58,10.0,10.0,10.0,0.13,0,4,29
210,Arabica,North America,Guatemala,2017-01-01,2018-06-01,Bourbon,Green,Washed / Wet,7.75,7.83,7.58,7.83,7.67,7.75,10.0,10.0,10.0,0.13,0,0,1
211,Arabica,South America,Colombia,2016-01-01,2017-08-19,Caturra,Green,Washed / Wet,7.83,7.75,7.58,7.67,7.75,7.83,10.0,10.0,10.0,0.0,0,0,2
212,Arabica,North America,Costa Rica,2016-01-01,2017-08-19,Caturra,Bluish-Green,Washed / Wet,7.92,7.75,7.67,7.67,7.5,7.67,10.0,10.0,10.0,0.09,0,0,2
213,Arabica,North America,Guatemala,2016-01-01,2017-06-23,Caturra,Green,Washed / Wet,7.75,7.75,7.58,8.0,7.67,7.83,10.0,10.0,10.0,0.11,0,0,6
214,Arabica,North America,Guatemala,2016-01-01,2017-06-01,Caturra,Green,Washed / Wet,7.75,7.92,7.58,7.92,7.67,7.67,10.0,10.0,10.0,0.1,1,0,10
215,Arabica,North America,Guatemala,2016-01-01,2017-06-01,Bourbon,Green,Washed / Wet,7.58,7.83,7.58,7.83,7.83,7.67,10.0,10.0,10.0,0.1,0,0,2
216,Arabica,South America,Colombia,2015-01-01,2016-08-17,Caturra,Bluish-Green,Washed / Wet,8.0,7.5,7.5,7.67,8.0,7.83,10.0,10.0,10.0,0.0,0,0,0
217,Arabica,North America,Nicaragua,2015-01-01,2016-08-02,Caturra,Bluish-Green,Natural / Dry,7.67,7.83,7.83,7.5,7.67,7.83,10.0,10.0,10.0,0.12,0,0,0
219,Arabica,North America,Costa Rica,2014-01-01,2016-04-09,Caturra,Blue-Green,Washed / Wet,7.67,7.75,7.67,7.75,7.5,8.0,10.0,10.0,10.0,0.0,0,0,0
220,Arabica,Africa,Ethiopia,2014-01-01,2016-03-25,Gesha,Green,Natural / Dry,7.5,7.92,7.58,7.83,7.75,7.83,10.0,10.0,10.0,0.1,0,0,5
221,Arabica,Africa,Tanzania,2014-01-01,2015-12-12,Other,Green,Washed / Wet,7.92,7.75,7.75,7.75,7.75,7.58,10.0,10.0,10.0,0.13,0,0,0
222,Arabica,South America,Colombia,2014-01-01,2015-10-15,Other,Green,Washed / Wet,7.67,7.5,7.67,7.42,7.83,8.58,10.0,10.0,10.0,0.12,0,0,4
224,Arabica,Africa,Kenya,2013-01-01,2014-11-07,SL28,Green,Washed / Wet,7.58,7.75,7.75,7.75,7.75,7.83,10.0,10.0,10.0,0.08,0,0,0
225,Arabica,South America,Brazil,2012-01-01,2014-05-20,Mundo Novo,Green,Natural / Dry,7.58,7.83,7.75,7.67,7.67,8.0,10.0,10.0,10.0,0.11,0,0,3
226,Arabica,North America,Guatemala,2013-01-01,2014-05-09,Bourbon,Green,Washed / Wet,7.92,7.75,7.67,7.67,7.83,7.92,10.0,10.0,10.0,0.11,0,0,4
227,Arabica,North America,El Salvador,2013-01-01,2014-03-18,Bourbon,Bluish-Green,Natural / Dry,8.42,8.08,7.5,7.17,7.58,8.17,9.33,10.0,10.0,0.11,0,0,2
228,Arabica,South America,Colombia,2012-01-01,2013-10-19,Caturra,Green,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.75,10.0,10.0,10.0,0.0,0,0,2
229,Arabica,North America,Guatemala,2012-01-01,2013-03-26,Catuai,Bluish-Green,Natural / Dry,7.83,7.5,7.5,8.0,7.83,7.83,10.0,10.0,10.0,0.11,0,0,2
230,Arabica,Africa,Uganda,2012-01-01,2013-02-12,Other,Green,Washed / Wet,7.83,7.75,7.5,7.83,7.83,7.75,10.0,10.0,10.0,0.11,0,0,1
231,Arabica,Asia,Indonesia,2017-01-01,2018-05-24,Mandheling,Bluish-Green,Natural / Dry,7.81,7.88,7.56,7.75,7.63,7.75,10.0,10.0,10.0,0.12,0,0,0
